Title,User Score,Year,Genre,Runtime in Minutes,Director
The Godfather,87,1972,"Drama, Crime",175,Francis Ford Coppola
The Shawshank Redemption,87,1994,"Drama, Crime",142,Frank Darabont
The Godfather Part II,86,1974,"Drama, Crime",202,Francis Ford Coppola
Schindler's List,86,1993,"Drama, History, War",195,Steven Spielberg
Dilwale Dulhania Le Jayenge,86,1995,"Comedy, Drama, Romance",190,Aditya Chopra
Spirited Away,85,2001,"Animation, Family, Fantasy",125,Hayao Miyazaki
12 Angry Men,85,1957,Drama,97,Reginald Rose
Your Name.,85,2016,"Romance, Animation, Drama",106,Makoto Shinkai
Parasite,85,2019,"Comedy, Thriller, Drama",133,Bong Joon-ho
The Green Mile,85,1999,"Fantasy, Drama, Crime",189,Frank Darabont
The Dark Knight,85,2008,"Drama, Action, Crime, Thriller",152,Christopher Nolan
Gabriel's Inferno: Part II,85,2020,Romance,105,Tosca Musk
Gabriel's Inferno,85,2020,Romance,122,Tosca Musk
Burn the Stage: The Movie,85,2018,Music,85,Park Jun-soo
Pulp Fiction,85,1994,"Thriller, Crime",154,Quentin Tarantino
Bring the Soul: The Movie,85,2019,"Music, Documentary",105,Park Jun-soo
"The Good, the Bad and the Ugly",85,1966,Western,161,Sergio Leone
Forrest Gump,85,1994,"Comedy, Drama, Romance",142,Robert Zemeckis
The Lord of the Rings: The Return of the King,85,2003,"Adventure, Fantasy, Action",201,Peter Jackson
Gabriel's Inferno: Part III,85,2020,"Romance, Comedy",105,Tosca Musk
GoodFellas,85,1990,"Drama, Crime",145,Martin Scorsese
Cinema Paradiso,85,1988,"Drama, Romance",124,Giuseppe Tornatore
Life Is Beautiful,85,1997,"Comedy, Drama",116,Roberto Benigni
Seven Samurai,85,1954,"Action, Drama",207,Akira Kurosawa
Psycho,84,1960,"Horror, Drama, Thriller",109,Alfred Hitchcock
Grave of the Fireflies,84,1988,"Animation, Drama, War",89,Isao Takahata
Once Upon a Time in America,84,1984,"Drama, Crime",229,Sergio Leone
Harakiri,84,1962,"Action, Drama, History",135,Masaki Kobayashi
Hope,84,2013,"Drama, Family",122,Lee Joon-ik
Fight Club,84,1999,"Drama, Thriller, Comedy",139,David Fincher
One Flew Over the Cuckoo's Nest,84,1975,Drama,133,Miloš Forman
A Dog's Will,84,2000,"Comedy, Drama, Fantasy",104,Guel Arraes
One Direction: This Is Us,84,2013,"Documentary, Music",92,Morgan Spurlock
City of God,84,2002,"Drama, Crime",130,Paulo Lins
Spider-Man: Into the Spider-Verse,84,2018,"Action, Adventure, Animation, Science Fiction",117,Rodney Rothman
Hotarubi no Mori e,84,2011,"Romance, Animation, Fantasy",45,Takahiro Omori
A Silent Voice: The Movie,84,2016,"Animation, Drama",130,Naoko Yamada
Howl's Moving Castle,84,2004,"Fantasy, Animation, Adventure",119,Hayao Miyazaki
The Empire Strikes Back,84,1980,"Adventure, Action, Science Fiction",124,Irvin Kershner
BTS World Tour: Love Yourself in Seoul,84,2019,Music,113,Son Sung-deuk
The Lord of the Rings: The Fellowship of the Ring,84,2001,"Adventure, Fantasy, Action",179,Peter Jackson
Neon Genesis Evangelion: The End of Evangelion,84,1997,"Drama, Animation, Science Fiction, Action",87,Hideaki Anno
Interstellar,84,2014,"Adventure, Drama, Science Fiction",169,Christopher Nolan
The Pianist,84,2002,"Drama, War",150,Roman Polanski
Sunset Boulevard,84,1950,Drama,110,Billy Wilder
Whiplash,84,2014,"Drama, Music",107,Damien Chazelle
The Lord of the Rings: The Two Towers,84,2002,"Adventure, Fantasy, Action",179,Peter Jackson
Evangelion: 3.0+1.0 Thrice Upon a Time,84,2021,"Animation, Action, Science Fiction, Drama",155,Hideaki Anno
American History X,84,1998,Drama,119,Tony Kaye
Rear Window,84,1954,"Thriller, Mystery",112,Cornell Woolrich
Ikiru,84,1952,Drama,143,Akira Kurosawa
The Shop Around the Corner,84,1940,"Comedy, Drama, Romance",99,Ernst Lubitsch
Inception,84,2010,"Action, Science Fiction, Adventure",148,Christopher Nolan
Se7en,84,1995,"Crime, Mystery, Thriller",127,David Fincher
The Great Dictator,84,1940,"Comedy, War",125,Charlie Chaplin
Dedicated to my ex,84,2019,"Drama, Comedy",94,Jorge Ulloa
